Code,Move,Domain,Type,Resources,Key_Words
10890,"Demand to build military infrastructure, not specified",Infrastructure,Demand,"Military, Economic, Infrastructure",
10894,"Demand to build/increase information infrastructure, not specified",Infrastructure,Demand,"Legitimacy, Political, Information",
10897,"Demand to build/increase economic infrastructure, not specified",Infrastructure,Demand,"Political, Legitimacy, Information",
10903,"Demand to build energy infrastructure, not specified",Infrastructure,Demand,"Natural, Political, Infrastructure",
10907,Demand to reduce censorship,Information,Demand,"Political, Information, Legitimacy",
110,"Disapprove, not specified",Political,Disapprove,"Information, Political","Decry, denounce, deplore, oppose, veto, blame, censure, criticize, chastise, reprove, remonstrate, find fault with, object to"
111,Criticize or denounce,Political,Disapprove,"Information, Legitimacy, Political","Blame, censure, denounce, reprimand, disparage, find fault with, chide, castigate, excoriate"
112,"Accuse, not specified below",Political,Disapprove,"Legitimacy, Political","Allege, charge, cite, blame, implicate, prosecute, criminate, recriminate, incriminate, slur, blow the whistle, bring charges against, file claim"
1121,"Accuse of crime, corruption",Political,Disapprove,Information,"Criminate, incriminate, recriminate, culpate, bring charges, charge, arraign"
1122,Accuse of human rights abuses,Political,Disapprove,Information,"Charge for human rights abuses, implicate in human rights abuse, bring charges against human rights violations, prosecute for human rights violations"
1123,Accuse of aggression,Political,Disapprove,Information,"Accuse of beligerence, charge with hostilities, accuse of aggressiveness, "
1124,Accuse of war crimes,Political,Disapprove,Information,"Accuse of a violation of the rules of combat, charge with war crimes, prosecute for crimes during war"
1125,"Accuse of espionage, treason",Political,Disapprove,Information,"Charge with espionage, bring charges against for espionage, accuse of selling secrets, implicate in illegal information sharing, allege for trading secrets illegally"
113,Rally opposition against,Political,Disapprove,"Social, Political, Legitimacy","Arouse dissent, challenge the current political state/leaders, encourage opposition/political dissent, encourage political opposition, organize political opposition against"
114,Complain officially,Political,Disapprove,"Political, Legitimacy, Information","File a formal complaint, criticize, protest, officially disapprove, indict, remonstrate"
115,Bring lawsuit against,Political,Disapprove,"Political, Legtimacy","File a claim, file for dispute, pursue litigation against, prosecute, bring to trial, file a suit, indictment, arraignment"
116,Find guilty or liable (legally),Political,Disapprove,"Information, Political","Convict, accuse, charge, doom, incriminate, judge to be guilty, find liable"
1161,"Secede from a federal union, an alliance, or a political organization",Political,Disapprove,"Information, Political",
1162,Violate international agreement ,Political,Disapprove,"Information, Political",
120,"Reject, not specified",Political,Reject,"Political, Legitimacy","Refuse, spurn, dismiss, renounce, repudiate, veto, exclude, disallow, discredit, scorn, said no"
121,"Reject material cooperation, not specified",Economic,Reject,"Political, Economic, Legitimacy","Refuse cooperation on materials, veto the sharing of resources, disallow resources to be shared"
1211,Reject economic cooperation,Economic,Reject,"Economic, Information, Military, Political","Refuse economic collaboration, veto cooperating economiclaly, dismiss any chance of economic cooperation, disallow all kinds of economic collaboration"
1212,Reject military cooperation,Military,Reject,"Political, Legitimacy","Refuse military collaboration, veto cooperating militarily, disallow any military cooperation, renounce military collaboration, spurn any chance of cooperating militarily"
1213,Reject judicial cooperation,Political,Reject,"Political, Diplomatic, Legitimacy","Refuse judicial collaboration/cooperation, spurn the chance to cooperate judicially, veto the sharing of judicial resources"
1214,Reject intelligence cooperation,Information,Reject,"Information, Political, Legitimacy","Refuse information sharing, spurn any attempts to make an intelligence sharing agreement, veto the sharing of intelligence/information"
122,Reject request or demand for material aid,Economic,Reject,"Economic, Information, Military, Political","Reject the appeals for aid, refuse the requests for help, spurn the appeals for help, veto the demands for help/aid"
1221,Reject request for economic aid,Economic,Reject,"Economic, Information, Military, Political","Reject the appeals for economic aid, refuse to aid economically, spurn the attempts to aid economically, refuse the chance to cooperate economically"
1222,Reject request for military aid,Military,Reject,"Political, Legitimacy","Reject appeals for military aid, refuse to aid militarily, spurn attempts to aid militarily, refuse the chance to cooperate militarily"
1223,Reject request for humanitarian aid,Diplomatic,Reject,"Diplomacy, Political, Information","Reject appeals for humanitarian aid, refuse to send humanitarian aid, spurn attempts at humanitarian aid, refuse the chance to cooperate on humanitarian aid"
